t,y
0,1956-03-31,284
1,1956-06-30,213
2,1956-09-30,227
3,1956-12-31,308
4,1957-03-31,262
5,1957-06-30,228
6,1957-09-30,236
7,1957-12-31,320
8,1958-03-31,272
9,1958-06-30,233
10,1958-09-30,237
11,1958-12-31,313
12,1959-03-31,261
13,1959-06-30,227
14,1959-09-30,250
15,1959-12-31,314
16,1960-03-31,286
17,1960-06-30,227
18,1960-09-30,260
19,1960-12-31,311
20,1961-03-31,295
21,1961-06-30,233
22,1961-09-30,257
23,1961-12-31,339
24,1962-03-31,279
25,1962-06-30,250
26,1962-09-30,270
27,1962-12-31,346
28,1963-03-31,294
29,1963-06-30,255
30,1963-09-30,278
31,1963-12-31,363
32,1964-03-31,313
33,1964-06-30,273
34,1964-09-30,300
35,1964-12-31,370
36,1965-03-31,331
37,1965-06-30,288
38,1965-09-30,306
39,1965-12-31,386
40,1966-03-31,335
41,1966-06-30,288
42,1966-09-30,308
43,1966-12-31,402
44,1967-03-31,353
45,1967-06-30,316
46,1967-09-30,325
47,1967-12-31,405
48,1968-03-31,393
49,1968-06-30,319
50,1968-09-30,327
51,1968-12-31,442
52,1969-03-31,383
53,1969-06-30,332
54,1969-09-30,361
55,1969-12-31,446
56,1970-03-31,387
57,1970-06-30,357
58,1970-09-30,374
59,1970-12-31,466
60,1971-03-31,410
61,1971-06-30,370
62,1971-09-30,379
63,1971-12-31,487
64,1972-03-31,419
65,1972-06-30,378
66,1972-09-30,393
67,1972-12-31,506
68,1973-03-31,458
69,1973-06-30,387
70,1973-09-30,427
71,1973-12-31,565
72,1974-03-31,465
73,1974-06-30,445
74,1974-09-30,450
75,1974-12-31,556
76,1975-03-31,500
77,1975-06-30,452
78,1975-09-30,435
79,1975-12-31,554
80,1976-03-31,510
81,1976-06-30,433
82,1976-09-30,453
83,1976-12-31,548
84,1977-03-31,486
85,1977-06-30,453
86,1977-09-30,457
87,1977-12-31,566
88,1978-03-31,515
89,1978-06-30,464
90,1978-09-30,431
91,1978-12-31,588
92,1979-03-31,503
93,1979-06-30,443
94,1979-09-30,448
95,1979-12-31,555
96,1980-03-31,513
97,1980-06-30,427
98,1980-09-30,473
99,1980-12-31,526
100,1981-03-31,548
101,1981-06-30,440
102,1981-09-30,469
103,1981-12-31,575
104,1982-03-31,493
105,1982-06-30,433
106,1982-09-30,480
107,1982-12-31,576
108,1983-03-31,475
109,1983-06-30,405
110,1983-09-30,435
111,1983-12-31,535
112,1984-03-31,453
113,1984-06-30,430
114,1984-09-30,417
115,1984-12-31,552
116,1985-03-31,464
117,1985-06-30,417
118,1985-09-30,423
119,1985-12-31,554
120,1986-03-31,459
121,1986-06-30,428
122,1986-09-30,429
123,1986-12-31,534
124,1987-03-31,481
125,1987-06-30,416
126,1987-09-30,440
127,1987-12-31,538
128,1988-03-31,474
129,1988-06-30,440
130,1988-09-30,447
131,1988-12-31,598
132,1989-03-31,467
133,1989-06-30,439
134,1989-09-30,446
135,1989-12-31,567
136,1990-03-31,485
137,1990-06-30,441
138,1990-09-30,429
139,1990-12-31,599
140,1991-03-31,464
141,1991-06-30,424
142,1991-09-30,436
143,1991-12-31,574
144,1992-03-31,443
145,1992-06-30,410
146,1992-09-30,420
147,1992-12-31,532
148,1993-03-31,433
149,1993-06-30,421
150,1993-09-30,410
151,1993-12-31,512
152,1994-03-31,449
153,1994-06-30,381
154,1994-09-30,423
155,1994-12-31,531
156,1995-03-31,426
157,1995-06-30,408
158,1995-09-30,416
159,1995-12-31,520
160,1996-03-31,409
161,1996-06-30,398
162,1996-09-30,398
163,1996-12-31,507
164,1997-03-31,432
165,1997-06-30,398
166,1997-09-30,406
167,1997-12-31,526
168,1998-03-31,428
169,1998-06-30,397
170,1998-09-30,403
171,1998-12-31,517
172,1999-03-31,435
173,1999-06-30,383
174,1999-09-30,424
175,1999-12-31,521
176,2000-03-31,421
177,2000-06-30,402
178,2000-09-30,414
179,2000-12-31,500
180,2001-03-31,451
181,2001-06-30,380
182,2001-09-30,416
183,2001-12-31,492
184,2002-03-31,428
185,2002-06-30,408
186,2002-09-30,406
187,2002-12-31,506
188,2003-03-31,435
189,2003-06-30,380
190,2003-09-30,421
191,2003-12-31,490
192,2004-03-31,435
193,2004-06-30,390
194,2004-09-30,412
195,2004-12-31,454
196,2005-03-31,416
197,2005-06-30,403
198,2005-09-30,408
199,2005-12-31,482
200,2006-03-31,438
201,2006-06-30,386
202,2006-09-30,405
203,2006-12-31,491
204,2007-03-31,427
205,2007-06-30,383
206,2007-09-30,394
207,2007-12-31,473
208,2008-03-31,420
209,2008-06-30,390
210,2008-09-30,410
211,2008-12-31,488
212,2009-03-31,415
213,2009-06-30,398
214,2009-09-30,419
215,2009-12-31,488
216,2010-03-31,414
217,2010-06-30,374
