Time,Month,Year,CO2
1,1,1959,315.42
2,2,1959,316.31
3,3,1959,316.5
4,4,1959,317.56
5,5,1959,318.13
6,6,1959,318
7,7,1959,316.39
8,8,1959,314.65
9,9,1959,313.68
10,10,1959,313.18
11,11,1959,314.66
12,12,1959,315.43
13,1,1960,316.27
14,2,1960,316.81
15,3,1960,317.42
16,4,1960,318.87
17,5,1960,319.87
18,6,1960,319.43
19,7,1960,318.01
20,8,1960,315.74
21,9,1960,314
22,10,1960,313.68
23,11,1960,314.84
24,12,1960,316.03
25,1,1961,316.73
26,2,1961,317.54
27,3,1961,318.38
28,4,1961,319.31
29,5,1961,320.42
30,6,1961,319.61
31,7,1961,318.42
32,8,1961,316.63
33,9,1961,314.83
34,10,1961,315.16
35,11,1961,315.94
36,12,1961,316.85
37,1,1962,317.78
38,2,1962,318.4
39,3,1962,319.53
40,4,1962,320.42
41,5,1962,320.85
42,6,1962,320.45
43,7,1962,319.45
44,8,1962,317.25
45,9,1962,316.11
46,10,1962,315.27
47,11,1962,316.53
48,12,1962,317.53
49,1,1963,318.58
50,2,1963,318.92
51,3,1963,319.7
52,4,1963,321.22
53,5,1963,322.08
54,6,1963,321.31
55,7,1963,319.58
56,8,1963,317.61
57,9,1963,316.05
58,10,1963,315.83
59,11,1963,316.91
60,12,1963,318.2
61,1,1964,319.41
62,2,1964,320.07
63,3,1964,320.74
64,4,1964,321.4
65,5,1964,322.06
66,6,1964,321.73
67,7,1964,320.27
68,8,1964,318.54
69,9,1964,316.54
70,10,1964,316.71
71,11,1964,317.53
72,12,1964,318.55
73,1,1965,319.27
74,2,1965,320.28
75,3,1965,320.73
76,4,1965,321.97
77,5,1965,322
78,6,1965,321.71
79,7,1965,321.05
80,8,1965,318.71
81,9,1965,317.66
82,10,1965,317.14
83,11,1965,318.7
84,12,1965,319.25
85,1,1966,320.46
86,2,1966,321.43
87,3,1966,322.23
88,4,1966,323.54
89,5,1966,323.91
90,6,1966,323.59
91,7,1966,322.24
92,8,1966,320.2
93,9,1966,318.48
94,10,1966,317.94
95,11,1966,319.63
96,12,1966,320.87
97,1,1967,322.17
98,2,1967,322.34
99,3,1967,322.88
100,4,1967,324.25
101,5,1967,324.83
102,6,1967,323.93
103,7,1967,322.38
104,8,1967,320.76
105,9,1967,319.1
106,10,1967,319.24
107,11,1967,320.56
108,12,1967,321.8
109,1,1968,322.4
110,2,1968,322.99
111,3,1968,323.73
112,4,1968,324.86
113,5,1968,325.4
114,6,1968,325.2
115,7,1968,323.98
116,8,1968,321.95
117,9,1968,320.18
118,10,1968,320.09
119,11,1968,321.16
120,12,1968,322.74
121,1,1969,323.83
122,2,1969,324.26
123,3,1969,325.47
124,4,1969,326.5
125,5,1969,327.21
126,6,1969,326.54
127,7,1969,325.72
128,8,1969,323.5
129,9,1969,322.22
130,10,1969,321.62
131,11,1969,322.69
132,12,1969,323.95
133,1,1970,324.89
134,2,1970,325.82
135,3,1970,326.77
136,4,1970,327.97
137,5,1970,327.91
138,6,1970,327.5
139,7,1970,326.18
140,8,1970,324.53
141,9,1970,322.93
142,10,1970,322.9
143,11,1970,323.85
144,12,1970,324.96
145,1,1971,326.01
146,2,1971,326.51
147,3,1971,327.01
148,4,1971,327.62
149,5,1971,328.76
150,6,1971,328.4
151,7,1971,327.2
152,8,1971,325.27
153,9,1971,323.2
154,10,1971,323.4
155,11,1971,324.63
156,12,1971,325.85
157,1,1972,326.6
158,2,1972,327.47
159,3,1972,327.58
160,4,1972,329.56
161,5,1972,329.9
162,6,1972,328.92
163,7,1972,327.88
164,8,1972,326.16
165,9,1972,324.68
166,10,1972,325.04
167,11,1972,326.34
168,12,1972,327.39
169,1,1973,328.37
170,2,1973,329.4
171,3,1973,330.14
172,4,1973,331.33
173,5,1973,332.31
174,6,1973,331.9
175,7,1973,330.7
176,8,1973,329.15
177,9,1973,327.35
178,10,1973,327.02
179,11,1973,327.99
180,12,1973,328.48
181,1,1974,329.18
182,2,1974,330.55
