Time,Date,Month,Year,Housing.Starts
1,1/1/1959,1,1959,1657
2,2/1/1959,2,1959,1667
3,3/1/1959,3,1959,1620
4,4/1/1959,4,1959,1590
5,5/1/1959,5,1959,1498
6,6/1/1959,6,1959,1503
7,7/1/1959,7,1959,1547
8,8/1/1959,8,1959,1430
9,9/1/1959,9,1959,1540
10,10/1/1959,10,1959,1355
11,11/1/1959,11,1959,1416
12,12/1/1959,12,1959,1601
13,1/1/1960,1,1960,1460
14,2/1/1960,2,1960,1503
15,3/1/1960,3,1960,1109
16,4/1/1960,4,1960,1289
17,5/1/1960,5,1960,1271
18,6/1/1960,6,1960,1247
19,7/1/1960,7,1960,1197
20,8/1/1960,8,1960,1344
21,9/1/1960,9,1960,1097
22,10/1/1960,10,1960,1246
23,11/1/1960,11,1960,1246
24,12/1/1960,12,1960,1063
25,1/1/1961,1,1961,1183
26,2/1/1961,2,1961,1226
27,3/1/1961,3,1961,1312
28,4/1/1961,4,1961,1166
29,5/1/1961,5,1961,1228
30,6/1/1961,6,1961,1382
31,7/1/1961,7,1961,1335
32,8/1/1961,8,1961,1312
33,9/1/1961,9,1961,1429
34,10/1/1961,10,1961,1415
35,11/1/1961,11,1961,1385
36,12/1/1961,12,1961,1365
37,1/1/1962,1,1962,1361
38,2/1/1962,2,1962,1278
39,3/1/1962,3,1962,1443
40,4/1/1962,4,1962,1524
41,5/1/1962,5,1962,1483
42,6/1/1962,6,1962,1404
43,7/1/1962,7,1962,1450
44,8/1/1962,8,1962,1517
45,9/1/1962,9,1962,1324
46,10/1/1962,10,1962,1533
47,11/1/1962,11,1962,1622
48,12/1/1962,12,1962,1564
49,1/1/1963,1,1963,1244
50,2/1/1963,2,1963,1456
51,3/1/1963,3,1963,1534
52,4/1/1963,4,1963,1689
53,5/1/1963,5,1963,1641
54,6/1/1963,6,1963,1588
55,7/1/1963,7,1963,1614
56,8/1/1963,8,1963,1639
57,9/1/1963,9,1963,1763
58,10/1/1963,10,1963,1779
59,11/1/1963,11,1963,1622
60,12/1/1963,12,1963,1491
61,1/1/1964,1,1964,1603
62,2/1/1964,2,1964,1820
63,3/1/1964,3,1964,1517
64,4/1/1964,4,1964,1448
65,5/1/1964,5,1964,1467
66,6/1/1964,6,1964,1550
67,7/1/1964,7,1964,1562
68,8/1/1964,8,1964,1569
69,9/1/1964,9,1964,1455
70,10/1/1964,10,1964,1524
71,11/1/1964,11,1964,1486
72,12/1/1964,12,1964,1484
73,1/1/1965,1,1965,1361
74,2/1/1965,2,1965,1433
75,3/1/1965,3,1965,1423
76,4/1/1965,4,1965,1438
77,5/1/1965,5,1965,1478
78,6/1/1965,6,1965,1488
79,7/1/1965,7,1965,1529
80,8/1/1965,8,1965,1432
81,9/1/1965,9,1965,1482
82,10/1/1965,10,1965,1452
83,11/1/1965,11,1965,1460
